timestamp,tds,ph,turbidity,cholera_prob,typhoid_prob,hepatitis_a_prob,dysentery_prob,diarrheal_prob
2025-09-20T04:58:19.761Z,475,8.3,0.7,0.01,0.45,0.01,0.12,0.43
2025-09-20T04:58:24.764Z,330,7.6,10,0.01,0.02,0.01,0,0.98
2025-09-20T04:58:29.765Z,415,8.1,2.7,0.01,0.41,0.01,0.17,0.42
2025-09-20T04:58:34.768Z,1119,8,1.7,0.01,1,0.01,0,0
2025-09-20T04:58:39.769Z,393,7.1,0.1,0.01,0.43,0.01,0.15,0.42
2025-09-20T04:58:44.771Z,474,7.7,3.9,0.01,0.45,0.01,0.13,0.42
2025-09-20T04:58:49.773Z,415,7.9,2.7,0.01,0.43,0.01,0.14,0.43
2025-09-20T04:58:54.774Z,205,8.3,3.4,0.01,0.43,0.01,0.12,0.45
2025-09-20T04:58:59.776Z,351,7.6,2.3,0.01,0.44,0.01,0.14,0.42
2025-09-20T04:59:04.778Z,454,7.6,0.8,0.01,0.44,0.01,0.13,0.43
2025-09-20T04:59:09.782Z,1101,7.7,13.7,0.01,0.93,0.01,0.02,0.05
2025-09-20T04:59:14.782Z,390,7.5,1.2,0.01,0.43,0.01,0.14,0.43
2025-09-20T04:59:19.784Z,249,7.3,0.6,0.01,0.43,0.01,0.11,0.46
2025-09-20T04:59:24.787Z,307,7.9,16.2,0.01,0,0.01,0,1
2025-09-20T04:59:29.787Z,348,7.8,1,0.01,0.45,0.01,0.14,0.41
2025-09-20T04:59:34.789Z,411,6.2,2.6,0.01,0.4,0.01,0.6,0
2025-09-20T04:59:39.791Z,272,8.1,0.8,0.01,0.43,0.01,0.13,0.44
2025-09-20T04:59:44.794Z,295,7.2,19.1,0.01,0,0.01,0,1
2025-09-20T04:59:49.795Z,488,7.2,1.6,0.01,0.43,0.01,0.12,0.45
2025-09-20T04:59:54.797Z,301,6.9,0.9,0.01,0.42,0.01,0.57,0.01
2025-09-20T04:59:59.798Z,260,8.4,3.7,0.01,0.43,0.01,0.11,0.46
2025-09-20T05:00:04.801Z,327,9.1,0.9,0.01,0.42,0.01,0.14,0.44
2025-09-20T05:00:09.802Z,416,7,3.4,0.01,0.43,0.01,0.16,0.41
2025-09-20T05:00:14.804Z,321,7.2,1.9,0.01,0.43,0.01,0.16,0.41
2025-09-20T05:00:19.806Z,264,7.5,2.7,0.01,0.43,0.01,0.11,0.46
2025-09-20T05:00:24.809Z,203,7.7,2,0.01,0.45,0.01,0.12,0.43
2025-09-20T05:00:29.810Z,404,7.5,3.5,0.01,0.43,0.01,0.14,0.43
2025-09-20T05:00:34.813Z,1042,7.1,11.9,0.01,0.85,0.01,0.12,0.03
2025-09-20T05:00:39.813Z,380,6.6,0,0.01,0.39,0.01,0.61,0
2025-09-20T05:00:44.815Z,375,8.3,0.6,0.01,0.43,0.01,0.14,0.43
2025-09-20T05:00:49.817Z,203,7.3,3.1,0.01,0.43,0.01,0.12,0.45
2025-09-20T05:00:54.819Z,251,6.9,1,0.01,0.42,0.01,0.56,0.02
2025-09-20T05:00:59.821Z,243,8,2.5,0.01,0.43,0.01,0.11,0.46
2025-09-20T05:01:04.823Z,442,6.6,3.9,0.01,0.39,0.01,0.61,0
2025-09-20T05:01:09.825Z,234,6.6,2,0.01,0.39,0.01,0.59,0.02
2025-09-20T05:01:14.826Z,392,6.5,1.7,0.01,0.39,0.01,0.61,0
2025-09-20T05:01:19.829Z,465,7.5,3.5,0.01,0.43,0.01,0.13,0.44
2025-09-20T05:01:24.831Z,218,6.9,0,0.01,0.42,0.01,0.57,0.01
2025-09-20T05:01:29.832Z,381,6.6,1.6,0.01,0.39,0.01,0.61,0
2025-09-20T05:01:34.834Z,326,8.4,0.5,0.01,0.43,0.01,0.14,0.43
2025-09-20T05:01:39.836Z,326,6.8,1.1,0.01,0.4,0.01,0.6,0
2025-09-20T05:01:44.839Z,244,7.8,2.2,0.01,0.45,0.01,0.11,0.44
2025-09-20T05:01:49.840Z,463,6.6,0.7,0.01,0.39,0.01,0.61,0
2025-09-20T05:01:54.842Z,419,6.7,1.9,0.01,0.4,0.01,0.6,0
2025-09-20T05:01:59.844Z,440,7.8,0.1,0.01,0.45,0.01,0.14,0.41
2025-09-20T05:02:04.846Z,494,7,10.9,0.01,0,0.01,0,1
2025-09-20T05:02:09.847Z,334,6.8,0.7,0.01,0.4,0.01,0.6,0
2025-09-20T05:02:14.849Z,285,8.2,2,0.01,0.41,0.01,0.14,0.45
2025-09-20T05:02:19.850Z,214,7.1,2.9,0.01,0.43,0.01,0.13,0.44
2025-09-20T05:02:24.853Z,360,8.2,14.5,0.01,0,0.01,0,1
2025-09-20T05:02:29.855Z,437,7.3,3.2,0.01,0.43,0.01,0.14,0.43
2025-09-20T05:02:34.856Z,441,7.6,1.3,0.01,0.44,0.01,0.14,0.42
2025-09-20T05:02:39.858Z,321,7.8,3.7,0.01,0.45,0.01,0.15,0.4
2025-09-20T05:02:44.860Z,390,7.8,0.2,0.01,0.45,0.01,0.14,0.41
2025-09-20T05:02:49.862Z,274,7.5,2.4,0.01,0.43,0.01,0.13,0.44
2025-09-20T05:02:54.864Z,415,7.8,1.6,0.01,0.45,0.01,0.14,0.41
2025-09-20T05:02:59.866Z,306,7.7,0.5,0.01,0.45,0.01,0.15,0.4
2025-09-20T05:03:04.867Z,224,7.6,3.7,0.01,0.44,0.01,0.12,0.44
2025-09-20T05:03:09.870Z,1079,7.4,1.5,0.01,1,0.01,0,0
2025-09-20T05:03:14.871Z,281,7.7,3.8,0.01,0.45,0.01,0.13,0.42
2025-09-20T05:03:19.874Z,490,7.7,0.8,0.01,0.45,0.01,0.12,0.43
2025-09-20T05:03:24.875Z,381,7.1,7.5,0.01,0.02,0.01,0.01,0.97
2025-09-20T05:03:29.877Z,483,6.8,0.8,0.01,0.41,0.01,0.57,0.02
2025-09-20T05:03:34.879Z,349,6.5,0.1,0.01,0.39,0.01,0.61,0
2025-09-20T05:03:39.882Z,412,7.6,19.5,0.01,0,0.01,0,1
2025-09-20T05:03:44.883Z,257,8.2,0.3,0.01,0.41,0.01,0.11,0.48
2025-09-20T05:03:49.884Z,452,7.7,1.1,0.01,0.45,0.01,0.13,0.42
2025-09-20T05:03:54.887Z,331,6.9,2.1,0.01,0.42,0.01,0.58,0
2025-09-20T05:03:59.888Z,364,8.1,1.4,0.01,0.43,0.01,0.14,0.43
2025-09-20T05:04:04.890Z,406,7.2,0.1,0.01,0.43,0.01,0.14,0.43
2025-09-20T05:04:09.892Z,376,7.4,1.9,0.01,0.43,0.01,0.14,0.43
2025-09-20T05:04:14.894Z,359,7,2.4,0.01,0.43,0.01,0.16,0.41
2025-09-20T05:04:19.896Z,585,7.1,2.1,0.01,0.56,0.01,0.09,0.35
2025-09-20T05:04:24.898Z,298,8.1,1.5,0.01,0.43,0.01,0.15,0.42
2025-09-20T05:04:37.520Z,342,6.8,2.1,0.01,0.4,0.01,0.6,0
2025-09-20T05:04:42.522Z,445,7.3,2.3,0.01,0.43,0.01,0.18,0.39
2025-09-20T05:04:47.524Z,234,6.8,1.3,0.01,0.4,0.01,0.59,0.01
2025-09-20T05:04:52.526Z,496,7.5,3,0.01,0.44,0.01,0.16,0.4
2025-09-20T05:04:57.529Z,330,6.7,14.8,0.01,0,0.01,0.99,0.01
2025-09-20T05:05:02.530Z,248,8.7,0.5,0.01,0.43,0.01,0.16,0.41
2025-09-20T05:05:07.532Z,340,6.6,2.6,0.01,0.39,0.01,0.61,0
2025-09-20T05:05:12.534Z,396,8,1.4,0.01,0.44,0.01,0.18,0.38
2025-09-20T05:05:17.536Z,1177,8.2,0.5,0.01,1,0.01,0,0
2025-09-20T05:05:22.538Z,250,5.2,10.3,0.01,0.02,0.01,0.95,0.03
2025-09-20T05:05:27.539Z,358,8.4,2.8,0.01,0.42,0.01,0.18,0.4
2025-09-20T05:05:32.541Z,667,6.6,0.5,0.01,1,0.01,0,0
2025-09-20T05:05:37.544Z,255,7,2.9,0.01,0.42,0.01,0.19,0.39
2025-09-20T05:05:42.545Z,478,7.8,1.5,0.01,0.44,0.01,0.17,0.39
2025-09-20T05:05:47.546Z,560,6.6,2.2,0.01,0.47,0.01,0.52,0.01
2025-09-20T05:05:52.548Z,388,7.1,3.6,0.01,0.42,0.01,0.2,0.38
2025-09-20T05:05:57.550Z,656,7.7,0.9,0.01,1,0.01,0,0
2025-09-20T05:09:46.086Z,241,7.8,0.3,0.01,0.43,0.01,0.18,0.39
2025-09-20T05:09:51.087Z,481,7.4,3.4,0.01,0.43,0.01,0.15,0.42
2025-09-20T05:09:56.089Z,331,8.3,0.2,0.01,0.45,0.01,0.18,0.37
