timestamp,tds,ph,turbidity,cholera_prob,typhoid_prob,hepatitis_a_prob,dysentery_prob,diarrheal_prob
2025-09-22T03:42:29.755Z,0,2.51,0,0.01,0.41,0.01,0.58,0.01
2025-09-22T03:42:24.729Z,0,2.61,0,0.01,0.41,0.01,0.58,0.01
2025-09-22T03:42:34.779Z,0,2.29,0,0.01,0.01,0.01,0.01,0.01
2025-09-22T03:42:39.804Z,0,2.15,0,0.01,0.34,0.01,0.63,0.03
2025-09-22T03:42:44.828Z,0,2.32,0,0.01,0.34,0.01,0.63,0.03
2025-09-22T03:42:49.852Z,0,2.23,0,0.01,0.34,0.01,0.63,0.03
2025-09-22T03:42:54.876Z,0,2.04,0,0.01,0.34,0.01,0.63,0.03
2025-09-22T03:42:59.900Z,0,2.34,0,0.01,0.34,0.01,0.63,0.03
2025-09-22T03:43:04.926Z,0,2.29,0,0.01,0.34,0.01,0.63,0.03
2025-09-22T03:43:09.951Z,0,-1.57,0,0.01,0.34,0.01,0.63,0.03
2025-09-22T03:43:14.978Z,0,1.61,0,0.01,0.34,0.01,0.63,0.03
2025-09-22T03:43:20.000Z,0,4.3,0,0.01,0.34,0.01,0.63,0.03
2025-09-22T03:43:25.025Z,0,2.04,0,0.01,0.34,0.01,0.63,0.03
2025-09-22T03:43:30.049Z,0,2.21,0,0.01,0.34,0.01,0.63,0.03
2025-09-22T03:43:35.075Z,0,2.18,0,0.01,0.34,0.01,0.63,0.03
2025-09-22T03:43:40.098Z,0,2.4,0,0.01,0.34,0.01,0.63,0.03
2025-09-22T03:43:45.124Z,0,2.21,0,0.01,0.34,0.01,0.63,0.03
2025-09-22T03:43:50.148Z,0,2.1,0,0.01,0.34,0.01,0.63,0.03
2025-09-22T03:43:55.173Z,0,2.37,0,0.01,0.34,0.01,0.63,0.03
2025-09-22T03:44:00.198Z,0,2.15,0,0.01,0.34,0.01,0.63,0.03
2025-09-22T03:44:05.222Z,0,2.07,0,0.01,0.34,0.01,0.63,0.03
2025-09-22T03:44:10.248Z,0,2.21,0,0.01,0.34,0.01,0.63,0.03
2025-09-22T03:44:15.272Z,0,2.15,0,0.01,0.34,0.01,0.63,0.03
