timestamp,tds,ph,turbidity,cholera_prob,typhoid_prob,hepatitis_a_prob,dysentery_prob,diarrheal_prob
2025-09-17T03:45:40.013Z,564,7.9,3.9,0.01,0.51,0.01,0.1,0.39
2025-09-17T03:45:45.016Z,250,7.5,1,0.01,0.47,0.01,0.1,0.43
2025-09-17T03:45:50.017Z,747,7.8,1.8,0.01,1,0.01,0,0
2025-09-17T03:45:55.020Z,249,7.2,0.1,0.01,0.45,0.01,0.11,0.44
2025-09-17T03:46:00.024Z,340,7.1,3.7,0.01,0.45,0.01,0.13,0.42
2025-09-17T03:46:05.023Z,378,6.6,3.5,0.01,0.41,0.01,0.56,0.03
2025-09-17T03:46:10.025Z,316,8,0.2,0.01,0.49,0.01,0.11,0.4
2025-09-17T03:46:15.027Z,499,8.4,1.8,0.01,0.5,0.01,0.09,0.41
2025-09-17T03:46:20.029Z,475,7.7,0.2,0.01,0.48,0.01,0.09,0.43
2025-09-17T03:46:25.031Z,382,8.5,1.1,0.01,0.49,0.01,0.09,0.42
2025-09-17T03:46:30.033Z,393,6.9,1,0.01,0.44,0.01,0.54,0.02
2025-09-17T03:46:35.034Z,261,8.1,1.3,0.01,0.49,0.01,0.1,0.41
2025-09-17T03:46:40.036Z,211,7.3,1.6,0.01,0.46,0.01,0.11,0.43
2025-09-17T03:46:45.039Z,653,7,3.3,0.01,1,0.01,0,0
2025-09-17T03:46:50.040Z,278,7.8,2.7,0.01,0.45,0.01,0.13,0.42
2025-09-17T03:46:55.042Z,928,6.5,2.9,0.01,1,0.01,0,0
2025-09-17T03:47:00.044Z,464,6.5,2.5,0.01,0.4,0.01,0.59,0.01
2025-09-17T03:47:05.046Z,258,8,5.8,0.01,0,0.01,0,1
2025-09-17T03:47:10.048Z,451,7.8,3.6,0.01,0.45,0.01,0.13,0.42
2025-09-17T03:47:15.050Z,701,7.4,0.2,0.01,1,0.01,0,0
2025-09-17T03:47:20.052Z,366,8.4,0,0.01,0.45,0.01,0.13,0.42
2025-09-17T03:47:25.054Z,474,7.8,2.9,0.01,0.45,0.01,0.12,0.43
2025-09-17T03:47:30.058Z,1029,8.4,11.7,0.01,0.85,0.01,0.1,0.05
2025-09-17T03:47:35.057Z,309,8.2,0,0.01,0.44,0.01,0.13,0.43
2025-09-17T03:47:40.059Z,422,8.2,0.8,0.01,0.44,0.01,0.12,0.44
2025-09-17T03:47:45.061Z,339,8.2,2.2,0.01,0.44,0.01,0.13,0.43
2025-09-17T03:47:50.061Z,469,7.2,3.6,0.01,0.45,0.01,0.12,0.43
2025-09-17T03:47:55.064Z,896,7.2,3,0.01,1,0.01,0,0
2025-09-17T03:48:00.065Z,454,6.7,1.3,0.01,0.43,0.01,0.56,0.01
2025-09-17T03:48:05.068Z,427,6.9,1.3,0.01,0.45,0.01,0.54,0.01
2025-09-17T03:48:10.070Z,320,8.2,3,0.01,0.44,0.01,0.13,0.43
2025-09-17T03:48:15.072Z,374,6.6,6.4,0.01,0,0.01,1,0
2025-09-17T03:48:20.074Z,424,6,3.9,0.01,0.39,0.01,0.61,0
2025-09-17T03:48:25.075Z,266,7.5,1.7,0.01,0.44,0.01,0.13,0.43
2025-09-17T03:48:30.077Z,202,7.3,3.1,0.01,0.46,0.01,0.11,0.43
2025-09-17T03:48:35.079Z,427,7.2,1,0.01,0.45,0.01,0.12,0.43
2025-09-17T03:48:40.081Z,399,8.3,2,0.01,0.45,0.01,0.12,0.43
2025-09-17T03:48:45.083Z,341,7.7,0.7,0.01,0.45,0.01,0.13,0.42
2025-09-17T03:48:50.085Z,228,6.8,3.7,0.01,0.45,0.01,0.54,0.01
2025-09-17T03:48:55.086Z,464,8.3,1.6,0.01,0.45,0.01,0.12,0.43
2025-09-17T03:49:00.089Z,372,6.5,1.3,0.01,0.4,0.01,0.6,0
2025-09-17T03:49:05.091Z,274,7.9,2.4,0.01,0.45,0.01,0.13,0.42
2025-09-17T03:49:10.092Z,330,7.8,0.7,0.01,0.45,0.01,0.13,0.42
2025-09-17T03:49:15.095Z,314,6.8,4.5,0.01,0.02,0.01,0.96,0.02
2025-09-17T03:49:20.096Z,262,7.5,3.1,0.01,0.44,0.01,0.13,0.43
2025-09-17T03:49:25.098Z,430,7.7,0.5,0.01,0.45,0.01,0.12,0.43
2025-09-17T03:49:30.099Z,333,8.1,3.5,0.01,0.44,0.01,0.13,0.43
2025-09-17T03:49:35.101Z,716,7.7,1,0.01,1,0.01,0,0
2025-09-17T03:49:40.104Z,246,8,3.6,0.01,0.44,0.01,0.12,0.44
2025-09-17T03:49:45.105Z,245,6.5,2.8,0.01,0.4,0.01,0.59,0.01
2025-09-17T03:49:50.107Z,210,8.4,2,0.01,0.45,0.01,0.11,0.44
2025-09-17T03:49:55.110Z,492,8.3,16.6,0.01,0,0.01,0.02,0.98
2025-09-17T03:50:00.111Z,304,8.3,3.7,0.01,0.45,0.01,0.13,0.42
2025-09-17T03:50:05.113Z,338,6.7,0.7,0.01,0.43,0.01,0.57,0
2025-09-17T03:50:10.115Z,878,7.7,3.7,0.01,1,0.01,0,0
2025-09-17T03:50:15.117Z,457,7.5,7.9,0.01,0,0.01,0.01,0.99
2025-09-17T03:50:20.119Z,405,8,1.3,0.01,0.44,0.01,0.12,0.44
2025-09-17T03:50:25.120Z,202,6.6,1.2,0.01,0.42,0.01,0.55,0.03
2025-09-17T03:50:30.122Z,499,6.5,1.4,0.01,0.4,0.01,0.56,0.04
2025-09-17T03:50:35.123Z,401,8.1,5.4,0.01,0,0.01,0.01,0.99
2025-09-17T03:50:40.126Z,268,6.9,2.9,0.01,0.45,0.01,0.54,0.01
2025-09-17T03:50:45.128Z,286,7.7,2.1,0.01,0.45,0.01,0.13,0.42
2025-09-17T03:50:50.130Z,251,8,3.9,0.01,0.44,0.01,0.12,0.44
2025-09-17T03:50:55.133Z,1176,7.3,3.1,0.01,1,0.01,0,0
2025-09-17T03:51:00.133Z,421,6.7,0.8,0.01,0.43,0.01,0.57,0
2025-09-17T03:51:05.136Z,715,7.9,0.2,0.01,1,0.01,0,0
2025-09-17T03:51:10.138Z,446,6.7,2.1,0.01,0.43,0.01,0.57,0
2025-09-17T03:51:19.837Z,235,8.1,0.8,0.01,0.44,0.01,0.12,0.44
2025-09-17T03:51:24.838Z,498,7.5,2.4,0.01,0.44,0.01,0.11,0.45
2025-09-17T03:51:29.840Z,273,8.2,2.3,0.01,0.44,0.01,0.13,0.43
2025-09-17T03:51:37.876Z,498,7.5,1.2,0.01,0.44,0.01,0.11,0.45
2025-09-17T03:51:42.878Z,487,8.4,3.8,0.01,0.45,0.01,0.11,0.44
2025-09-17T03:51:47.879Z,349,8,2.5,0.01,0.44,0.01,0.13,0.43
2025-09-17T03:51:52.882Z,277,7.8,2.5,0.01,0.45,0.01,0.13,0.42
2025-09-17T03:51:57.883Z,901,5.1,2.8,0.01,0.97,0.01,0.03,0
2025-09-17T03:52:02.885Z,272,8.2,0.8,0.01,0.44,0.01,0.13,0.43
2025-09-17T03:52:07.887Z,375,7.9,1.3,0.01,0.45,0.01,0.13,0.42
2025-09-17T03:52:12.889Z,200,7,1.5,0.01,0.44,0.01,0.15,0.41
2025-09-17T03:52:17.890Z,353,8.2,3.1,0.01,0.44,0.01,0.13,0.43
2025-09-17T03:52:22.893Z,206,6.8,3.9,0.01,0.45,0.01,0.52,0.03
2025-09-17T03:52:27.894Z,301,8.2,3.4,0.01,0.44,0.01,0.13,0.43
2025-09-17T03:52:32.896Z,384,7.5,1.1,0.01,0.44,0.01,0.12,0.44
2025-09-17T03:52:37.898Z,928,7.8,1.6,0.01,1,0.01,0,0
2025-09-17T03:52:42.900Z,226,7.4,7.8,0.01,0,0.01,0.01,0.99
2025-09-17T03:52:47.902Z,260,7.5,2.6,0.01,0.44,0.01,0.12,0.44
2025-09-17T03:52:52.904Z,365,8.2,0.5,0.01,0.44,0.01,0.13,0.43
2025-09-17T03:52:57.905Z,373,6.6,2.1,0.01,0.42,0.01,0.58,0
2025-09-17T03:53:02.907Z,296,8.3,0.6,0.01,0.45,0.01,0.13,0.42
2025-09-17T03:53:07.910Z,314,7.6,14.4,0.01,0,0.01,0,1
2025-09-17T03:53:12.911Z,407,7.6,0,0.01,0.44,0.01,0.12,0.44
2025-09-17T03:53:17.912Z,313,6.9,2.2,0.01,0.45,0.01,0.53,0.02
2025-09-17T03:53:22.915Z,474,8.1,1.6,0.01,0.44,0.01,0.12,0.44
2025-09-17T03:53:27.917Z,496,8.2,2.4,0.01,0.44,0.01,0.11,0.45
2025-09-17T03:53:32.918Z,495,8.2,5.2,0.01,0,0.01,0,1
2025-09-17T03:53:37.920Z,213,7.8,3.7,0.01,0.45,0.01,0.11,0.44
2025-09-17T03:53:42.922Z,334,6.5,7.1,0.01,0,0.01,0.99,0.01
2025-09-17T03:53:47.924Z,453,7.7,3.9,0.01,0.45,0.01,0.12,0.43
2025-09-17T03:53:52.926Z,675,6.6,0.6,0.01,1,0.01,0,0
2025-09-17T03:53:57.928Z,402,8.2,1.2,0.01,0.44,0.01,0.12,0.44
2025-09-17T03:54:02.930Z,926,6.9,1,0.01,1,0.01,0,0
2025-09-17T03:54:07.931Z,417,7.1,0.8,0.01,0.44,0.01,0.12,0.44
2025-09-17T03:54:12.933Z,287,7,0.9,0.01,0.44,0.01,0.13,0.43
2025-09-17T03:54:17.936Z,469,6.5,1,0.01,0.4,0.01,0.59,0.01
2025-09-17T03:54:22.937Z,459,7.3,0.7,0.01,0.46,0.01,0.12,0.42
2025-09-17T03:54:27.939Z,436,7.9,1,0.01,0.45,0.01,0.12,0.43
2025-09-17T03:54:32.941Z,267,6.5,0.3,0.01,0.4,0.01,0.6,0
2025-09-17T03:54:37.943Z,435,7.2,1.9,0.01,0.45,0.01,0.12,0.43
2025-09-17T03:54:42.946Z,240,8.4,14.9,0.01,0,0.01,0,1
2025-09-17T03:54:47.946Z,350,6.2,2,0.01,0.4,0.01,0.6,0
2025-09-17T03:54:52.948Z,330,7.5,2.8,0.01,0.44,0.01,0.13,0.43
2025-09-17T03:54:57.950Z,471,8.3,2,0.01,0.45,0.01,0.12,0.43
2025-09-17T03:55:02.952Z,427,7.1,1.2,0.01,0.44,0.01,0.12,0.44
2025-09-17T03:55:07.954Z,1019,6.9,0.2,0.01,1,0.01,0,0
2025-09-17T03:55:12.955Z,305,7.2,0,0.01,0.45,0.01,0.13,0.42
2025-09-17T03:55:17.959Z,245,7,10.7,0.01,0,0.01,0.01,0.99
2025-09-17T03:55:22.960Z,254,6.5,1.8,0.01,0.4,0.01,0.6,0
2025-09-17T03:55:27.962Z,287,7.2,1.3,0.01,0.45,0.01,0.13,0.42
2025-09-17T03:55:32.963Z,423,7.1,1.8,0.01,0.44,0.01,0.12,0.44
2025-09-17T03:55:37.965Z,417,7.2,3.3,0.01,0.45,0.01,0.12,0.43
2025-09-17T03:55:42.967Z,408,8.2,0,0.01,0.44,0.01,0.12,0.44
2025-09-17T03:55:47.968Z,419,6.5,3.1,0.01,0.4,0.01,0.6,0
2025-09-17T03:55:52.972Z,211,7.1,10,0.01,0,0.01,0.03,0.97
2025-09-17T03:55:57.973Z,214,8,0.1,0.01,0.44,0.01,0.11,0.45
2025-09-17T03:56:02.974Z,689,7.8,2.2,0.01,1,0.01,0,0
2025-09-17T03:56:07.976Z,361,7.3,2.8,0.01,0.46,0.01,0.13,0.41
2025-09-17T03:56:12.977Z,856,8.1,2.3,0.01,1,0.01,0,0
2025-09-17T03:56:17.979Z,454,6.8,0.2,0.01,0.45,0.01,0.53,0.02
2025-09-17T03:56:22.982Z,351,7.5,3.6,0.01,0.44,0.01,0.13,0.43
2025-09-17T03:56:27.984Z,489,7.9,2.7,0.01,0.45,0.01,0.11,0.44
2025-09-17T03:56:32.985Z,314,7.2,0.4,0.01,0.45,0.01,0.13,0.42
2025-09-17T03:56:37.987Z,950,6.8,0.7,0.01,1,0.01,0,0
2025-09-17T03:56:42.990Z,373,7.5,2.7,0.01,0.44,0.01,0.13,0.43
2025-09-17T03:56:47.991Z,420,6.8,3.5,0.01,0.45,0.01,0.54,0.01
2025-09-17T03:56:52.993Z,471,6.6,3.6,0.01,0.42,0.01,0.56,0.02
2025-09-17T03:56:57.995Z,420,7.4,3.8,0.01,0.44,0.01,0.12,0.44
2025-09-17T03:57:02.997Z,256,6.8,0.4,0.01,0.45,0.01,0.54,0.01
2025-09-17T03:57:07.999Z,330,7.9,2.5,0.01,0.45,0.01,0.13,0.42
2025-09-17T03:57:13.000Z,424,6.5,1.9,0.01,0.4,0.01,0.6,0
2025-09-17T03:57:18.002Z,271,8.2,1.1,0.01,0.44,0.01,0.13,0.43
2025-09-17T03:57:23.003Z,237,6.6,3.4,0.01,0.42,0.01,0.57,0.01
2025-09-17T03:57:28.005Z,460,6.7,0.2,0.01,0.43,0.01,0.56,0.01
2025-09-17T03:57:33.007Z,377,7.2,3.3,0.01,0.45,0.01,0.13,0.42
2025-09-17T03:57:38.010Z,331,8.1,0.4,0.01,0.44,0.01,0.13,0.43
2025-09-17T03:57:43.011Z,323,7.2,3,0.01,0.45,0.01,0.13,0.42
2025-09-17T03:57:48.013Z,380,7.4,3.3,0.01,0.44,0.01,0.13,0.43
2025-09-17T03:57:53.016Z,390,7,1.2,0.01,0.44,0.01,0.14,0.42
2025-09-17T03:57:58.017Z,479,7,3.3,0.01,0.44,0.01,0.12,0.44
2025-09-17T03:58:03.019Z,375,8.2,0.2,0.01,0.44,0.01,0.13,0.43
2025-09-17T03:58:08.021Z,209,7.3,2.6,0.01,0.46,0.01,0.11,0.43
2025-09-17T03:58:13.022Z,815,7.4,2.3,0.01,1,0.01,0,0
2025-09-17T03:58:18.025Z,653,7.8,2.6,0.01,1,0.01,0,0
2025-09-17T03:58:23.027Z,483,7.2,1.8,0.01,0.45,0.01,0.11,0.44
2025-09-17T03:58:28.029Z,212,8.4,2.3,0.01,0.45,0.01,0.11,0.44
2025-09-17T03:58:33.032Z,1190,6.8,2.9,0.01,0.95,0.01,0.05,0
2025-09-17T03:58:38.033Z,603,6.9,11.2,0.01,0.31,0.01,0.68,0.01
2025-09-17T03:58:43.035Z,386,8.3,2.6,0.01,0.45,0.01,0.12,0.43
2025-09-17T03:58:48.036Z,470,8.1,0.2,0.01,0.44,0.01,0.12,0.44
2025-09-17T03:58:53.038Z,400,8.1,6,0.01,0,0.01,0,1
2025-09-17T03:58:58.040Z,285,7.3,1.6,0.01,0.46,0.01,0.13,0.41
2025-09-17T03:59:03.041Z,235,8.2,2.9,0.01,0.44,0.01,0.12,0.44
2025-09-17T03:59:08.044Z,383,7.7,1.1,0.01,0.45,0.01,0.13,0.42
2025-09-17T03:59:13.046Z,484,8.3,3.1,0.01,0.45,0.01,0.11,0.44
2025-09-17T03:59:18.048Z,310,9.3,19.9,0.01,0.04,0.01,0.05,0.91
2025-09-17T03:59:23.050Z,1154,8.1,1.5,0.01,1,0.01,0,0
2025-09-17T03:59:28.052Z,1006,7.5,2.4,0.01,1,0.01,0,0
2025-09-17T03:59:33.053Z,319,7.4,1.7,0.01,0.44,0.01,0.13,0.43
2025-09-17T03:59:38.055Z,788,7.4,0.8,0.01,1,0.01,0,0
2025-09-17T03:59:43.057Z,378,7.3,1.9,0.01,0.46,0.01,0.13,0.41
2025-09-17T03:59:48.058Z,491,7.8,2.3,0.01,0.45,0.01,0.11,0.44
2025-09-17T03:59:53.061Z,284,6.9,0.2,0.01,0.45,0.01,0.53,0.02
2025-09-17T03:59:58.063Z,270,6.5,2.4,0.01,0.4,0.01,0.6,0
2025-09-17T04:00:03.065Z,218,7,2.6,0.01,0.44,0.01,0.14,0.42
2025-09-17T04:00:08.066Z,203,8.1,1.4,0.01,0.44,0.01,0.11,0.45
2025-09-17T04:00:13.069Z,315,6.5,9,0.01,0,0.01,0.96,0.04
2025-09-17T04:00:18.069Z,626,7.9,3.6,0.01,1,0.01,0,0
2025-09-17T04:00:23.072Z,341,6.8,3.9,0.01,0.45,0.01,0.54,0.01
2025-09-17T04:00:28.074Z,394,7.8,2.5,0.01,0.45,0.01,0.12,0.43
2025-09-17T04:00:33.076Z,494,8.3,1.2,0.01,0.45,0.01,0.11,0.44
2025-09-17T04:00:38.078Z,280,6.3,3.5,0.01,0.4,0.01,0.6,0
2025-09-17T04:00:43.080Z,401,8.4,1.9,0.01,0.45,0.01,0.12,0.43
2025-09-17T04:00:48.082Z,1054,8.4,2,0.01,1,0.01,0,0
2025-09-17T04:00:53.083Z,410,7.2,2.5,0.01,0.45,0.01,0.12,0.43
2025-09-17T04:00:58.085Z,415,6.6,1.4,0.01,0.42,0.01,0.58,0
2025-09-17T04:01:03.087Z,466,8.4,0.4,0.01,0.45,0.01,0.12,0.43
2025-09-17T04:01:08.090Z,204,7,14.1,0.01,0,0.01,0.1,0.9
2025-09-17T04:01:13.091Z,357,7.2,2.4,0.01,0.45,0.01,0.13,0.42
2025-09-17T04:01:18.093Z,948,8,0.1,0.01,1,0.01,0,0
2025-09-17T04:01:23.093Z,228,7.5,2.8,0.01,0.44,0.01,0.12,0.44
2025-09-17T04:01:28.096Z,469,7.4,2.7,0.01,0.44,0.01,0.12,0.44
2025-09-17T04:01:33.098Z,396,6.7,1.5,0.01,0.43,0.01,0.56,0.01
2025-09-17T04:01:38.100Z,307,6.9,2.6,0.01,0.45,0.01,0.53,0.02
2025-09-17T04:01:43.103Z,300,6.9,18.4,0.01,0,0.01,0.98,0.02
2025-09-17T04:01:48.104Z,452,7.3,3.4,0.01,0.46,0.01,0.12,0.42
2025-09-17T04:01:53.105Z,431,6.3,3.9,0.01,0.39,0.01,0.61,0
2025-09-17T04:01:58.107Z,257,7.7,1.5,0.01,0.45,0.01,0.12,0.43
2025-09-17T04:02:03.109Z,424,7.3,1,0.01,0.46,0.01,0.12,0.42
2025-09-17T04:02:08.111Z,394,8.4,3.7,0.01,0.45,0.01,0.12,0.43
2025-09-17T04:02:13.113Z,243,7.3,0.2,0.01,0.46,0.01,0.12,0.42
2025-09-17T04:02:18.114Z,439,7.8,2,0.01,0.45,0.01,0.12,0.43
2025-09-17T04:02:23.117Z,221,7.5,2.9,0.01,0.44,0.01,0.11,0.45
2025-09-17T04:02:28.118Z,250,6.6,1.8,0.01,0.42,0.01,0.58,0
2025-09-17T04:02:33.120Z,351,7.2,1.1,0.01,0.45,0.01,0.13,0.42
